hru_id_CAMELS,Folder_CAMELS,outlet_id_CAMELS,RunPET,NCat,SA_analysis,aridity,p_seasonality,frac_snow,Snow10_arid1_5
04115265,camels_04115265_12232338,12232338,0,11,1,0.905793417301305,0.222395197435615,0.17692366303836,0
07301410,camels_07301410_13754363,13754363,1,63,1,1.72085929084126,0.54562376978321,0.0754167591358171,0
04063700,camels_04063700_6844165,6844165,0,33,1,0.888204601535273,0.520192757708825,0.211966109984869,0
12488500,camels_12488500_24422913,24422913,0,27,1,0.460863112965068,-0.904591870238888,0.641918995401996,0
09512280,camels_09512280_20476698,20476698,1,28,1,2.92619766089728,-0.439113382527268,0.0046420695661842,0
01466500,camels_01466500_4492036,4492036,1,1,1,0.864395949341242,0.0603116014654338,0.0626617697616761,1
10259000,camels_10259000_22592131,22592131,1,3,1,2.98883590649644,-1.34307951369627,0.0335249004621377,0
10336660,camels_10336660_8941693,8941693,0,4,1,0.766349594900847,-1.14131643450225,0.668727842270536,0
13235000,camels_13235000_24158523,24158523,0,152,1,1.04542058272682,-0.810877697022429,0.677895075896552,0
08013000,camels_08013000_15085941,15085941,1,191,1,0.745282546959656,-0.156904435045654,0.0032863361803717,1
06479215,camels_06479215_9370700,9370700,0,22,1,1.20607496009013,0.760783399210058,0.164751422321796,0
04015330,camels_04015330_1757696,1757696,0,28,1,0.874388280219585,0.590786400549574,0.196079390089318,0
11176400,camels_11176400_2806807,2806807,1,44,1,2.20881381268599,-1.25779487608552,0.016307003804813,0
08164300,camels_08164300_7846049,7846049,1,76,1,1.65573995578224,-0.0004274136529092,0.0021354784821483,0
09306242,camels_09306242_3240437,3240437,0,11,1,2.90419159117546,0.0541007336993257,0.35800746386243,0
01516500,camels_01516500_8112305,8112305,0,5,1,0.712019857879042,0.164481435383888,0.199238597784613,0
07195800,camels_07195800_399452,399452,1,6,1,0.816966915348155,0.142939362252623,0.0482364215180522,1
07291000,camels_07291000_19115892,19115892,1,57,1,0.746843729797645,-0.165164818260007,0.003569389743915,1
